antecedents,consequents,support,confidence,lift
DX_I50,"MED_aspirin, MED_atorvastatin, MED_albuterol",0.044059935783089546,0.4442446043165467,3.2985897374815374
"DX_I50, COND_obesity","MED_aspirin, MED_atorvastatin",0.026757046022119157,1.0,3.282201405152225
"DX_I21, COND_obesity","MED_aspirin, MED_atorvastatin",0.027292186942561542,1.0,3.282201405152225
DX_I21,"MED_aspirin, MED_atorvastatin",0.10256867641812344,0.9965337954939342,3.270824623851871
DX_I50,"MED_aspirin, MED_atorvastatin",0.09882268997502676,0.9964028776978417,3.270394925277577
"DX_I21, MED_albuterol","MED_aspirin, MED_atorvastatin",0.04513021762397431,0.992156862745098,3.256458649033384
"DX_I50, MED_albuterol","MED_aspirin, MED_atorvastatin",0.044059935783089546,0.9919678714859438,3.2558383416570265
DX_I21,"MED_aspirin, MED_atorvastatin, MED_albuterol",0.04513021762397431,0.438474870017331,3.2557485050558377
"MED_atorvastatin, DX_I50","MED_aspirin, MED_albuterol",0.044059935783089546,0.4442446043165467,2.892491581647574
DX_I50,"MED_aspirin, MED_albuterol",0.044059935783089546,0.4442446043165467,2.892491581647574
"DX_I21, MED_atorvastatin","MED_aspirin, MED_albuterol",0.04513021762397431,0.438474870017331,2.854924647290543
DX_I21,"MED_aspirin, MED_albuterol",0.04513021762397431,0.438474870017331,2.854924647290543
DX_I50,"MED_atorvastatin, MED_albuterol",0.0444166963967178,0.447841726618705,2.8272530624149326
"DX_I21, COND_obesity",MED_aspirin,0.027292186942561542,1.0,2.815670517327976
"DX_I50, MED_atorvastatin, COND_obesity",MED_aspirin,0.026757046022119157,1.0,2.815670517327976
"DX_I50, COND_obesity",MED_aspirin,0.026757046022119157,1.0,2.815670517327976
"DX_I21, MED_atorvastatin, COND_obesity",MED_aspirin,0.027292186942561542,1.0,2.815670517327976
"MED_aspirin, DX_I50","MED_atorvastatin, MED_albuterol",0.044059935783089546,0.44584837545126355,2.8146689107880443
"DX_I21, MED_atorvastatin",MED_aspirin,0.10256867641812344,0.9965337954939342,2.805910827493217
DX_I21,MED_aspirin,0.10256867641812344,0.9965337954939342,2.805910827493217
"MED_atorvastatin, DX_I50",MED_aspirin,0.09882268997502676,0.9964028776978417,2.805542206114566
DX_I50,MED_aspirin,0.09882268997502676,0.9964028776978417,2.805542206114566
"DX_I21, MED_albuterol",MED_aspirin,0.04513021762397431,0.992156862745098,2.793586826995991
"DX_I21, MED_atorvastatin, MED_albuterol",MED_aspirin,0.04513021762397431,0.992156862745098,2.793586826995991
"DX_I50, MED_atorvastatin, MED_albuterol",MED_aspirin,0.044059935783089546,0.9919678714859438,2.793054689879558
"DX_I50, MED_albuterol",MED_aspirin,0.044059935783089546,0.9919678714859438,2.793054689879558
DX_I21,"MED_atorvastatin, MED_albuterol",0.04548697823760257,0.44194107452339687,2.7900018736240573
"MED_aspirin, DX_I21","MED_atorvastatin, MED_albuterol",0.04513021762397431,0.44,2.7777477477477475
"DX_I50, COND_obesity",MED_atorvastatin,0.026757046022119157,1.0,2.7240038872691934
DX_I50,MED_atorvastatin,0.09917945058865502,1.0,2.7240038872691934
"MED_aspirin, DX_I50, MED_albuterol",MED_atorvastatin,0.044059935783089546,1.0,2.7240038872691934
"MED_aspirin, DX_I50, COND_obesity",MED_atorvastatin,0.026757046022119157,1.0,2.7240038872691934
"MED_aspirin, DX_I21, COND_obesity",MED_atorvastatin,0.027292186942561542,1.0,2.7240038872691934
"DX_I21, COND_obesity",MED_atorvastatin,0.027292186942561542,1.0,2.7240038872691934
DX_I21,MED_atorvastatin,0.1029254370317517,1.0,2.7240038872691934
"MED_aspirin, DX_I21, MED_albuterol",MED_atorvastatin,0.04513021762397431,1.0,2.7240038872691934
"DX_I21, MED_albuterol",MED_atorvastatin,0.04548697823760257,1.0,2.7240038872691934
"DX_I50, MED_albuterol",MED_atorvastatin,0.0444166963967178,1.0,2.7240038872691934
"MED_aspirin, DX_I50",MED_atorvastatin,0.09882268997502676,1.0,2.7240038872691934
"MED_aspirin, DX_I21",MED_atorvastatin,0.10256867641812344,1.0,2.7240038872691934
"MED_atorvastatin, DX_G47.33",MED_aspirin,0.03888690688547984,0.8825910931174089,2.4850857197469582
"DX_E78.5, MED_atorvastatin",MED_aspirin,0.03870852657866571,0.8749999999999999,2.4637117026619784
"DX_D64.9, MED_atorvastatin",MED_aspirin,0.03835176596503746,0.8565737051792829,2.4118293275916924
"MED_aspirin, DX_D64.9",MED_atorvastatin,0.03835176596503746,0.8811475409836067,2.4002493268970353
